question_id,category,question,answer,answer_relevant,reviewer_id,notes
PRJ-008-lesson,lesson,What should we learn from Project Harbor before releasing a purchase order?,"Lesson LL-008 from Project Harbor: complete an independent protection coordination review. [1]
Reuse this lesson at the procurement gate of future projects before purchase-order release. [2]",,,
PRJ-008-multi_hop,multi_hop,"Which active projects use the equipment affected by INC-008, and what lesson follows that incident?","Incident INC-008 on Project Harbor: switchgear relay settings conflicted with the utility study. [1]
INC-008 affected SWG-610. [2]
LL-008 follows INC-008. [3]
Reuse this lesson at the procurement gate of future projects before purchase-order release. [4]
DEC-008 responds to INC-008. [5]
The board accepted the schedule change only after reviewing the incident and change CR-008. [6]
CR-008 addresses INC-008. [7]",,,
PRJ-011-multi_hop,multi_hop,"Which active projects use the equipment affected by INC-011, and what lesson follows that incident?","Incident INC-011 on Project Kestrel: cooling pump seals leaked during endurance testing. [1]
INC-011 affected PUMP-310. [2]
LL-011 follows INC-011. [3]
Reuse this lesson at the procurement gate of future projects before purchase-order release. [4]
DEC-011 responds to INC-011. [5]
The board accepted the schedule change only after reviewing the incident and change CR-011. [6]
CR-011 addresses INC-011. [7]",,,
PRJ-007-multi_hop,multi_hop,"Which active projects use the equipment affected by INC-007, and what lesson follows that incident?","Incident INC-007 on Project Granite: cooling pump seals leaked during endurance testing. [1]
INC-007 affected PUMP-310. [2]
LL-007 follows INC-007. [3]
Reuse this lesson at the procurement gate of future projects before purchase-order release. [4]
DEC-007 responds to INC-007. [5]
The board accepted the schedule change only after reviewing the incident and change CR-007. [6]
CR-007 addresses INC-007. [7]",,,
PRJ-011-risk,risk,What triggers RISK-011 and what response is planned?,"Response: require witnessed factory acceptance before shipment. [1]
Risk RISK-011 for Project Kestrel: repeat PUMP-310 acceptance failure could delay energization. [2]
RISK-011 threatens MS-011. [3]
Response: validate firmware interoperability in a hardware-in-the-loop test. [4]
Response: inspect replacement seals and repeat the endurance test. [5]
Response: validate firmware interoperability in a hardware-in-the-loop test. [6]",,,
PRJ-008-risk,risk,What triggers RISK-008 and what response is planned?,"Risk RISK-008 for Project Harbor: repeat SWG-610 acceptance failure could delay energization. [1]
RISK-008 threatens MS-008. [2]
Response: require witnessed factory acceptance before shipment. [3]
Response: require witnessed factory acceptance before shipment. [4]
Response: inspect replacement seals and repeat the endurance test. [5]
Response: validate firmware interoperability in a hardware-in-the-loop test. [6]",,,
PRJ-010-risk,risk,What triggers RISK-010 and what response is planned?,"Risk RISK-010 for Project Juniper: repeat CTRL-420 acceptance failure could delay energization. [1]
RISK-010 threatens MS-010. [2]
Response: require witnessed factory acceptance before shipment. [3]
Response: inspect replacement seals and repeat the endurance test. [4]
Response: validate firmware interoperability in a hardware-in-the-loop test. [5]
Response: complete an independent protection coordination review. [6]",,,
PRJ-008-semantic,semantic,What caused Project Harbor to fall behind its commissioning schedule?,"Current Project Harbor status: commissioning is delayed 3 weeks. [1]
Incident INC-008 on Project Harbor: switchgear relay settings conflicted with the utility study. [2]
The commissioning milestone slipped by 3 weeks. [3]",,,
PRJ-010-semantic,semantic,What caused Project Juniper to fall behind its commissioning schedule?,"Current Project Juniper status: commissioning is delayed 5 weeks. [1]
Incident INC-010 on Project Juniper: controller firmware dropped synchronization messages. [2]
The commissioning milestone slipped by 5 weeks. [3]",,,
PRJ-009-semantic,semantic,What caused Project Iris to fall behind its commissioning schedule?,"Current Project Iris status: commissioning is delayed 8 weeks. [1]
Incident INC-009 on Project Iris: transformer winding insulation failed factory testing. [2]
The commissioning milestone slipped by 8 weeks. [3]",,,
absent-3,unanswerable,What did Project Omega spend on helicopter repairs?,I could not find sufficient evidence in the accessible sources.,,,
absent-5,unanswerable,What is the final approved contract value of Project Alpha?,"Current Project Alpha status: commissioning is delayed 6 weeks. [1]
The approved recovery plan tracks CR-001, RISK-001 and MS-001. [2]
Change CR-001 on Project Alpha revises acceptance requirement REQ-001. [3]
Approved scope: require witnessed factory acceptance before shipment. [4]",,,
absent-4,unanswerable,What is the secret access token for the grid controller?,"interacting with the main utility grid (“grid connected”) and operating independently (“islanded”) during power outages or emergencies; (2) they can leverage all localized sources of affordable, reliable and secure energy resources to meet local demand, while also providing grid support; and (3) they can function intelligently, using advanced controllers to orchestrate the balancing of local energy resources and demand, supporting grid interconnection requirements while optimizing power delivery to end-users. [1]
Microgrids are deployed across key sectors to bolster reliability and resilience during grid outages. [2]",,,
